name,price,category,subcategory,image,description,,,
Mango Juice,100,Fresh Juices,Juices,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Freshly squeezed mango juice rich in vitamins.,,,
Apple Juice,70,Fresh Juices,Juices,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Refreshing and healthy fresh apple juice.,,,
Orange Juice,70,Fresh Juices,Juices,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Citrusy and revitalizing fresh orange juice.,,,
Mosambi Juice,70,Fresh Juices,Juices,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Sweet and tangy fresh sweet lime juice.,,,
Grape Juice,70,Fresh Juices,Juices,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Antioxidant-rich fresh grape juice.,,,
Watermelon Juice,70,Fresh Juices,Juices,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Hydrating fresh watermelon juice perfect for summer.,,,
Muskmelon Juice,70,Fresh Juices,Juices,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Sweet and aromatic fresh muskmelon juice.,,,
Papaya Juice,70,Fresh Juices,Juices,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Nutrient-dense fresh papaya juice.,,,
Pomegranate Juice,160,Fresh Juices,Juices,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Rich and tangy fresh pomegranate juice.,,,
Pineapple Juice,100,Fresh Juices,Juices,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Tropical and zesty fresh pineapple juice.,,,
Kiwi Juice,150,Fresh Juices,Juices,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Tangy and vitamin-packed fresh kiwi juice.,,,
Dragon Fruit Juice,150,Fresh Juices,Juices,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Exotic and refreshing dragon fruit juice.,,,
Strawberry Juice,160,Fresh Juices,Juices,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Sweet and berry-filled fresh strawberry juice.,,,
Carrot Juice,80,Fresh Juices,Juices,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Healthy and vibrant fresh carrot juice.,,,
Beet root Juice,80,Fresh Juices,Juices,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Earthy and nutritious fresh beetroot juice.,,,
ABC Juice,140,Fresh Juices,Juices,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Healthy blend of Amla,Apple,Carrot,and Beetroot.
ABC with Ginger,140,Fresh Juices,Juices,C:\Users\Mohan\Downloads\kajuanjeer.jpg,ABC juice infused with a spicy ginger kick.,,,
Cocktail Special,160,Fresh Juices,Juices,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Mixed blend of Mango,Strawberry,Banana/Kiwi,and Apple.
Anarkali,180,Fresh Juices,Mix Fruit Blend,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Delicious blend of Pomegranate and Kiwi.,,,
Kiwi Cooler,160,Fresh Juices,Mix Fruit Blend,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Refreshing mix of Kiwi,Orange,and Pineapple.,
Watermelon Sunrise,130,Fresh Juices,Mix Fruit Blend,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Cooling blend of Orange,Mint,and Watermelon.,
Detox Blend,150,Fresh Juices,Mix Fruit Blend,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Cleansing mix of Orange,Ginger,and Pineapple.,
Immunity Booster,140,Fresh Juices,Mix Fruit Blend,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Healthy mix of Pineapple,Grape,and Apple.,
Maramari,100,Fresh Juices,Mix Fruit Blend,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Tangy blend of Pineapple and Mosambi.,,,
Vegetable Juice,100,Fresh Juices,Mix Fruit Blend,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Nutritious mix of Carrot,Beetroot,and Cucumber.,
Refreshing Harmony,120,Fresh Juices,Mix Fruit Blend,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Zesty blend of Orange,Ginger,and Muskmelon.,
Island Breeze,150,Fresh Juices,Mix Fruit Blend,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Tropical mix of Orange,Mango,and Pineapple.,
Vitamin C,120,Fresh Juices,Mix Fruit Blend,C:\Users\Mohan\Downloads\kajuanjeer.jpg,C-packed blend of Tomato,Carrot,and Beetroot.,
Ganga Jamuna Saraswathi,120,Fresh Juices,Mix Fruit Blend,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Classic trio blend of Orange,Mosambi,and Pineapple.,
